N,P,K,temperature,humidity,ph,rainfall,label
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice
92,35,40,22.17931888,80.33127223,6.357389366,200.0882787,rice
85,37,39,24.52783742,82.73685569,6.364134968,224.6757231,rice
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice
99,57,35,26.75754171,81.17734011,5.960370061,272.2999056,rice
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice
60,43,44,21.01944696,82.95221726,7.416245107,298.4018471,rice
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice
82,40,40,23.83067496,84.81360127,6.271478838,298.5601175,rice
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice
76,49,42,24.958779,84.47963372,5.206373153,196.9560008,rice
74,39,38,23.24113501,84.59201843,7.782051313,233.0453455,rice
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice
60,36,43,23.43121862,83.06310136,5.286203711,219.9048349,rice
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice
65,60,43,21.97199397,81.89918197,5.658169482,227.3637009,rice
95,52,36,26.22916897,83.83625819,5.543360238,286.5083725,rice
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice
91,36,45,24.44345477,82.45432595,5.950647577,267.9761948,rice
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice
70,36,42,21.84106875,80.72886384,6.946209881,202.3838319,rice
76,47,42,20.08369642,83.29114712,5.739175027,263.6372176,rice
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice
99,54,37,21.14347496,80.33502926,5.594819626,198.6730942,rice
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice
91,56,37,23.43191632,80.56887849,6.363472208,269.5039162,rice
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice
67,45,38,22.72791041,82.1706881,7.300410836,260.8875056,rice
79,42,37,24.87300744,82.84022551,6.587918708,295.6094492,rice
78,43,42,21.32376327,83.00320459,7.283736617,192.3197536,rice
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,rice
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice
81,41,38,22.67846116,83.72874389,7.524080076,200.9133156,rice
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice
67,43,39,26.04371967,84.96907151,5.999969026,186.7536773,rice
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice
66,60,38,22.08576562,83.47038318,6.372576327,231.7364957,rice
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,rice
84,50,44,25.48591986,81.40633547,5.935344406,182.6549356,rice
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice
91,50,40,20.82477109,84.1341879,6.462391607,230.2242223,rice
93,53,38,26.92995077,81.91411159,7.069172227,290.6793783,rice
90,44,38,23.83509503,83.88387074,7.473134377,241.2013513,rice
81,45,35,26.52872817,80.12267476,6.158376967,218.9163567,rice
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,rice
60,51,36,22.69657794,82.81088865,6.028321558,256.9964761,rice
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice
93,47,37,21.53346343,82.14004101,6.500343222,295.9248796,rice
60,55,45,21.40865769,83.3293191,5.935745417,287.5766935,rice
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice
71,54,16,22.61359953,63.69070564,5.749914421,87.75953857,maize
61,44,17,26.10018422,71.57476937,6.931756558,102.2662445,maize
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,maize
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize
89,60,19,25.19192419,66.6902901,5.913664501,78.06639649,maize
76,44,17,20.41683147,62.5542482,5.855442401,65.27798457,maize
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,maize
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,maize
90,49,21,24.84016732,68.3584573,6.472523287,74.05474936,maize
62,52,16,22.27526694,58.84015925,6.967057762,63.87020584,maize
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize
66,54,21,25.19008683,60.2001687,5.919045532,72.12375573,maize
63,58,22,18.25405352,55.28220433,6.204747653,63.72358154,maize
70,47,17,24.6129118,70.4162444,6.600827017,104.1626147,maize
61,41,17,25.1420613,65.26185135,6.021902237,76.68456006,maize
66,53,19,23.09348056,60.1159381,6.033550195,65.49730729,maize
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,maize
77,57,21,24.9321581,73.80435276,6.550563823,79.74078719,maize
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,maize
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,maize
83,45,21,18.83344471,58.75082029,5.716222912,79.7532896,maize
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,maize
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,maize
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,maize
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,maize
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,maize
87,54,20,25.61707368,63.4711755,6.576418207,108.8303762,maize
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,maize
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,maize
64,35,23,23.02038334,61.89472002,5.680361038,63.03843397,maize
60,46,22,24.89364635,65.61418761,6.625404348,87.9298085,maize
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,maize
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,maize
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,maize
98,35,18,23.79746068,74.82913698,6.252797548,91.76337172,maize
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,maize
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,maize
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,maize
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,maize
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,maize
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,maize
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,maize
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,maize
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,maize
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,maize
99,36,20,20.57981887,65.34583901,6.671085817,78.34604471,maize
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,maize
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,maize
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,maize
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,maize
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,maize
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize
66,44,20,19.0781471,69.02298571,6.740000688,80.72515943,maize
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,maize
79,45,20,23.80546189,59.24537979,5.715208817,89.9622014,maize
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,maize
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,maize
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,maize
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,maize
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,maize
81,45,23,19.32666088,68.034493,6.192360003,84.22969177,maize
73,45,21,24.60532218,73.58868502,6.636803223,96.59195302,maize
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,maize
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,maize
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,maize
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,maize
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,maize
94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,maize
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,maize
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,maize
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,maize
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,maize
63,42,21,23.26237612,72.33125523,5.798423908,67.10225139,maize
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,maize
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,maize
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,maize
60,57,24,18.66116213,61.55327249,6.121294041,75.03247667,maize
71,52,18,25.10787449,55.97732754,5.790770203,78.16077693,maize
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,maize
88,38,15,25.08239719,65.92195844,6.455116637,62.49190812,maize
65,60,22,25.36768364,72.52054555,6.606984086,107.9124111,maize
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,maize
78,58,15,25.00933355,67.816568,6.528631266,62.91359494,maize
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,maize
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,maize
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,maize
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,maize
87,48,25,18.65396672,61.37879671,6.656730008,93.62039175,maize
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,maize
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,maize
67,35,22,23.30546753,63.24648023,6.385684214,108.7603001,maize
60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,maize
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,maize
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,maize
3,49,18,27.91095209,64.70930606,3.692863601,32.67891866,mothbeans
22,59,23,27.32220619,51.27868781,4.371745575,36.5037914,mothbeans
36,58,25,28.66024187,59.3189118,8.399135958,36.92629678,mothbeans
4,43,18,29.02955344,61.09387478,8.840656256,72.98016599,mothbeans
29,54,16,27.78031515,54.65030015,8.153022903,32.05025323,mothbeans
32,43,22,31.99928579,54.1077461,5.270749441,71.6266696,mothbeans
14,55,15,27.33580911,55.27755933,8.050304395,73.44775287,mothbeans
5,35,20,28.92952635,53.57014709,9.679240873,66.35634104,mothbeans
25,57,24,27.65472156,58.59986279,6.974978386,36.94255012,mothbeans
11,53,24,28.52396666,55.77264351,7.39389918,61.32935611,mothbeans
40,49,17,31.02215872,45.89239456,6.68727523,53.56783314,mothbeans
38,56,25,25.74095321,45.38497051,7.88118645,67.43488235,mothbeans
27,43,23,31.70447482,56.85420099,5.875333778,44.94317432,mothbeans
24,38,22,24.47876451,58.51663927,8.202706015,34.96933295,mothbeans
23,45,21,31.46511256,51.79939437,8.985348193,74.44330654,mothbeans
29,57,20,25.60973447,50.7330069,5.87707519,53.39249517,mothbeans
31,35,23,30.30260453,47.18283631,7.707595055,68.04039813,mothbeans
0,55,25,28.17489437,43.6672299,4.524171562,45.78172762,mothbeans
7,45,22,25.50634557,44.8302551,9.926212291,74.32635105,mothbeans
17,58,25,31.12896766,43.58788762,6.455592696,32.76742894,mothbeans
11,44,17,26.34043268,55.59160391,8.016210782,35.1051197,mothbeans
22,49,22,28.23494706,61.5620517,3.71105919,72.66666443,mothbeans
9,51,19,27.04453473,49.32609633,5.49091063,48.25207759,mothbeans
28,48,15,25.16125354,55.25435777,9.254089438,40.89732789,mothbeans
26,50,19,27.3179125,51.66921088,6.005242945,32.55919573,mothbeans
36,56,20,25.4123765,49.66474269,7.437078236,31.87416982,mothbeans
8,60,18,31.21629982,46.01868196,3.808429173,53.1205277,mothbeans
24,37,21,30.573999,58.22686794,5.818219385,62.74803826,mothbeans
22,43,24,25.42517036,53.2208266,4.52363558,46.19374559,mothbeans
36,43,24,27.09400578,43.65305437,3.510404312,41.53749535,mothbeans
22,44,24,24.30935081,56.32938343,6.030447288,58.99536268,mothbeans
17,43,22,30.06142622,45.90067655,5.498340808,41.0550915,mothbeans
8,45,15,28.09568993,60.9835384,4.61136408,33.84110759,mothbeans
7,56,23,26.33908791,40.00933429,5.545219232,55.50429227,mothbeans
36,57,16,28.61409059,57.14218792,8.292875734,57.02891698,mothbeans
11,45,19,28.70012137,44.359648,3.828031463,44.11622138,mothbeans
6,36,22,24.21610338,59.79236306,8.869532817,42.24783476,mothbeans
17,57,20,28.50677929,45.20094476,3.793575185,66.1761456,mothbeans
4,47,20,25.97948991,64.95585424,4.193189124,72.19245835,mothbeans
9,49,16,30.88482722,41.36561835,7.661537348,55.053805,mothbeans
25,51,24,25.5042419,61.66852372,9.392694614,65.07981523,mothbeans
36,44,21,25.12528913,51.33189406,4.516154055,38.48678973,mothbeans
21,38,20,27.10508014,63.56791363,5.794289715,62.20279647,mothbeans
37,57,20,31.1006247,44.82069159,7.354286985,70.79934452,mothbeans
32,48,18,26.45707778,56.40226277,5.993513566,64.16167699,mothbeans
29,44,20,30.04132304,63.56222995,8.620107545,31.83192392,mothbeans
25,51,18,27.77799528,54.82130787,9.45949344,50.28438729,mothbeans
10,44,24,30.99256944,43.02151392,8.0344125,58.27600682,mothbeans
23,35,18,26.4908332,47.36534833,5.414492777,36.99362831,mothbeans
9,60,23,31.96987867,57.17377029,6.276004336,64.25520357,mothbeans
3,58,21,25.36140526,46.82652785,9.160691747,55.60523179,mothbeans
22,42,22,25.54249137,56.96640758,7.887658711,48.46797044,mothbeans
12,39,21,28.99319096,62.85948245,8.183844843,70.4713043,mothbeans
39,36,22,29.34317422,60.50320928,9.072011412,34.03335472,mothbeans
32,41,16,28.63618921,61.39451307,7.702287236,68.54877876,mothbeans
30,41,15,24.83206631,44.17085032,5.88509677,52.0810886,mothbeans
19,36,22,25.44689075,58.55363573,6.16496284,57.04826619,mothbeans
4,46,15,31.01274943,62.40392519,3.504752314,63.77192383,mothbeans
21,39,20,27.06179658,52.3003173,7.388007483,60.74583498,mothbeans
35,57,25,27.0956288,42.26206161,8.340398059,71.1271039,mothbeans
22,55,24,28.56800579,57.30636014,8.66077954,64.53027638,mothbeans
35,51,17,28.79929247,49.84213387,3.558822825,40.85534718,mothbeans
17,56,17,27.94293692,45.41393636,5.9565851,69.66289997,mothbeans
28,57,17,30.47757686,61.58245338,9.416003106,61.86633917,mothbeans
22,36,16,30.58139475,50.77148138,8.18422855,64.58559639,mothbeans
11,41,19,26.85911286,41.81420849,5.131779302,44.13827124,mothbeans
38,38,18,26.31051759,61.18749126,6.294130313,35.73403813,mothbeans
23,37,24,28.77833449,44.2252605,7.991902443,33.95825723,mothbeans
25,35,20,28.90245417,43.35365671,8.923095695,71.90018566,mothbeans
40,45,20,29.37687468,57.69622912,6.878498176,38.34303462,mothbeans
23,58,19,24.17093241,58.25204566,5.243634849,59.18953429,mothbeans
2,56,23,26.65333029,59.79023382,7.550090941,36.91852635,mothbeans
3,56,17,28.19912143,53.50567601,8.709291688,52.13580529,mothbeans
26,51,25,28.76488954,52.62741529,7.792508068,55.21606732,mothbeans
39,42,20,29.3499706,61.25353851,8.055908858,40.82840673,mothbeans
27,59,20,28.00937423,52.60950014,4.397698806,36.01203025,mothbeans
24,45,19,26.85851927,48.8246387,5.952384957,34.7426459,mothbeans
7,40,17,31.2123945,40.92604945,8.532078733,53.78769958,mothbeans
15,45,23,24.20422636,61.43378674,7.224193642,46.0203959,mothbeans
26,52,23,29.98835437,49.60384796,4.931890506,52.92929636,mothbeans
20,45,16,29.93964907,54.61813464,4.626212446,45.43669946,mothbeans
34,54,24,31.2119298,41.55934359,5.026003659,68.80141783,mothbeans
19,51,25,26.80474415,48.23991436,3.5253661,43.87801983,mothbeans
29,41,21,31.49398069,62.84916863,8.86979671,64.56807592,mothbeans
20,50,22,30.99694676,46.42693735,9.406887533,38.31597852,mothbeans
11,40,23,29.61253065,63.04749127,5.80428611,50.1978269,mothbeans
15,54,15,29.97604322,57.03184356,8.35495812,44.86052932,mothbeans
35,55,22,30.88883074,52.62696801,8.634929739,55.51932414,mothbeans
9,59,25,30.39321309,60.16299493,7.699200949,35.37493212,mothbeans
40,45,18,30.43683729,55.20522037,5.261285926,30.92014047,mothbeans
35,38,19,25.32688786,63.18180319,9.112771682,32.71129281,mothbeans
14,58,17,30.53684308,59.96664731,4.605700542,33.48919022,mothbeans
40,55,18,30.38257873,40.5926071,7.115994051,47.95406479,mothbeans
18,36,23,24.01825377,53.76623369,7.214078621,35.03404425,mothbeans
35,52,15,28.69841277,61.14754363,9.93509073,65.67591794,mothbeans
4,59,22,29.33743412,49.00323081,8.914074888,42.44054315,mothbeans
22,51,16,27.96583691,61.34900107,8.639586199,70.10472076,mothbeans
33,47,17,24.86803974,48.27531965,8.621514073,63.9187654,mothbeans
2,51,17,25.87682261,45.96341933,5.838508699,38.53254678,mothbeans
16,51,21,31.01963639,49.9767522,3.532008668,32.81296548,mothbeans
19,55,20,27.43329405,87.80507732,7.18530147,54.73367631,mungbean
8,54,20,28.3340432,80.77275974,7.034214276,38.7976407,mungbean
36,55,20,27.01470397,84.34262707,6.635968698,55.296354,mungbean
10,56,16,28.17432665,81.04554836,6.828187499,36.35720652,mungbean
22,56,17,29.87888063,87.32761241,6.89077995,44.75215854,mungbean
9,57,24,29.89232778,89.71503316,7.165121109,42.99498978,mungbean
34,59,23,28.56212158,83.24855855,6.935804256,56.48265193,mungbean
31,51,25,27.53592929,85.5701901,7.196774236,53.01899249,mungbean
0,49,18,29.68361658,87.93598094,6.990095452,41.82490236,mungbean
21,39,20,28.14448546,82.1193047,7.064782138,46.75690086,mungbean
28,35,22,29.53037621,86.73346018,7.156563094,59.87232071,mungbean
17,52,17,27.88352946,86.45147631,6.364967184,44.64407105,mungbean
24,42,23,28.22471276,82.35916228,6.428054409,44.01206619,mungbean
28,46,16,29.008124,84.96089355,6.664187809,45.91011391,mungbean
21,38,21,29.75538903,86.45193297,6.637677489,37.54602719,mungbean
34,60,25,29.78416743,85.16906976,6.79385576,40.77872823,mungbean
19,53,22,27.8640132,80.4513142,6.852884643,42.83053902,mungbean
31,58,15,27.11026483,84.96771717,7.121571293,51.52617423,mungbean
19,35,24,27.11030369,83.64274107,6.883308033,49.11964582,mungbean
24,53,17,28.95451232,89.07866095,6.421271178,57.65901369,mungbean
13,47,20,29.21780035,87.93724219,6.54450214,43.1386631,mungbean
31,53,16,28.7420098,85.81675947,6.452006451,48.54598575,mungbean
28,45,23,29.65021184,80.29868321,6.489259136,56.76278363,mungbean
31,37,21,27.23924995,86.404241,6.713410626,37.31236904,mungbean
33,60,15,28.95172351,81.67085323,6.510840928,56.51103293,mungbean
34,45,21,28.18837136,82.60629652,6.287380117,37.01110438,mungbean
13,57,25,28.30041493,86.20681554,6.86308576,50.47333854,mungbean
33,57,17,27.89636126,88.71782287,6.78415271,57.79863368,mungbean
32,57,22,28.6899851,87.50436797,6.769415888,44.56598352,mungbean
23,59,25,27.8262623,88.73100226,6.320768488,56.68833819,mungbean
35,41,18,28.70562673,81.59200689,6.705008504,59.87065439,mungbean
6,48,24,28.6362812,84.61431076,6.790736339,48.48319335,mungbean
29,36,25,28.28511547,88.4393979,7.130278657,48.56690235,mungbean
4,36,22,27.60887393,86.13316408,7.012740397,43.80041104,mungbean
10,59,22,28.60901145,86.99495766,7.155685016,36.94616965,mungbean
14,48,21,29.24598976,84.80084105,6.991242362,53.43228915,mungbean
8,50,21,28.62911222,89.1148059,6.218923893,50.49913241,mungbean
20,40,15,29.57329479,88.07505524,7.199495368,45.04467075,mungbean
36,43,22,27.82684262,87.16679147,6.389882166,58.37249772,mungbean
14,57,15,29.8757015,83.14796296,6.623438282,40.12044158,mungbean
11,60,23,27.33684386,88.50229102,7.033012777,51.09802625,mungbean
10,59,15,29.83040388,89.30428305,6.32400451,58.86687093,mungbean
7,60,25,28.2753171,82.76020821,6.397636709,56.04995423,mungbean
2,47,15,29.86860065,85.99127934,6.401455706,58.41394143,mungbean
20,45,22,29.5888162,89.9939693,6.904587016,54.96121262,mungbean
2,39,15,28.07219563,82.9116472,6.478557136,49.61865305,mungbean
27,40,24,27.84026517,89.99615558,7.063022095,52.84626009,mungbean
35,48,15,27.10818093,87.4512669,6.981758362,55.03723979,mungbean
4,59,25,27.68515114,81.94268594,6.227134139,54.62243308,mungbean
1,48,24,29.34594634,85.60472562,6.232836962,59.03629954,mungbean
36,43,21,28.36319404,84.8593608,7.140437859,52.93031105,mungbean
11,46,24,27.65280218,89.80650642,6.459252023,56.52558045,mungbean
34,47,19,27.31372793,85.44815232,6.568795404,53.15223123,mungbean
21,44,18,27.06909959,86.89934108,7.12851089,50.46746116,mungbean
17,58,20,28.06642822,85.91625451,6.42937879,39.23831035,mungbean
25,40,21,27.73329078,81.13903037,6.248900919,44.17580911,mungbean
2,38,18,27.53632932,89.92908171,6.619891498,45.48591922,mungbean
9,48,20,29.66461594,84.28187572,6.377568542,56.09542002,mungbean
37,49,25,29.9145443,85.85384444,6.415459592,41.39081525,mungbean
36,38,15,28.36363858,87.59810657,6.320662012,57.99524359,mungbean
40,58,15,29.46416042,87.60890009,6.978400282,43.15411472,mungbean
30,44,16,29.73013036,82.89166381,6.442335593,50.91511275,mungbean
1,59,23,27.46852989,87.17649,7.184398832,43.78420984,mungbean
9,48,22,27.77076285,87.09979549,6.402926221,49.50812624,mungbean
14,41,17,29.12939524,88.48312598,7.085982325,36.45012824,mungbean
35,52,19,27.10606808,89.89593328,6.698574085,37.45680611,mungbean
31,48,17,28.88078945,86.94206817,6.594739424,53.79732545,mungbean
4,41,20,28.14720892,83.8001509,6.647965508,37.44800463,mungbean
30,37,25,29.89129144,80.14487166,7.120032489,54.7960127,mungbean
9,35,20,27.41503453,80.98004661,6.91380932,40.53173216,mungbean
20,41,20,29.27308605,89.4875022,7.073048264,50.9246554,mungbean
37,50,23,29.65296893,88.48587386,6.5304707,56.01913159,mungbean
34,35,21,28.44524991,82.67639542,6.684381357,58.18713162,mungbean
14,37,15,27.96235681,83.97586797,6.581351374,48.9366954,mungbean
23,39,22,29.25649321,81.97952224,6.86483915,42.02483277,mungbean
5,45,21,28.36291385,88.00989267,6.487124217,43.05130077,mungbean
22,37,20,27.62749466,86.49366929,6.605733068,39.26137642,mungbean
40,51,17,28.66086349,86.12194568,6.860602782,50.01534317,mungbean
27,56,20,29.2114218,87.11497805,6.41874299,51.53848218,mungbean
31,40,22,29.40889385,86.16063492,6.365513634,53.35486977,mungbean
38,36,21,28.02952623,84.8845732,6.556372966,36.12042927,mungbean
6,37,17,28.08657178,80.35005927,6.760694228,38.14476781,mungbean
6,47,18,29.16174608,80.28038146,6.715276663,40.16545979,mungbean
24,44,17,29.8596912,80.03499648,6.666380512,50.66487502,mungbean
25,59,19,29.06631494,83.6869203,6.626629798,43.95183726,mungbean
32,56,21,27.38538997,88.66663953,6.702772465,58.29933073,mungbean
8,45,18,27.93034941,85.42058715,7.011030515,43.25095608,mungbean
19,39,17,29.2808618,81.8009244,6.890156495,44.47427436,mungbean
39,37,15,28.9973145,83.78911515,6.821747052,59.84499208,mungbean
33,37,19,27.92678579,86.5543196,7.183189922,43.4826194,mungbean
26,54,17,28.5474135,88.9570454,6.27258822,49.4897245,mungbean
21,51,15,29.36488409,89.1886954,6.679127482,48.30159325,mungbean
22,54,20,28.56149805,83.63802195,6.689825155,41.013132,mungbean
29,45,16,28.43683487,87.91332682,6.583381939,43.12063289,mungbean
4,40,21,28.79728147,80.45744422,6.725551062,44.30070517,mungbean
10,37,22,28.7275267,89.12760359,7.069747814,58.52974279,mungbean
4,44,19,27.95639663,83.52706038,6.921993878,43.25726752,mungbean
20,45,17,28.17458662,83.69659318,6.770955317,37.2464655,mungbean
23,45,23,28.77653519,86.69133979,6.983130466,56.12443206,mungbean
25,48,21,28.438097,83.48991368,6.267684328,52.55469976,mungbean
56,79,15,29.48439992,63.19915325,7.454532137,71.89090748,blackgram
25,62,21,26.73433965,68.13999721,7.040056094,67.15096376,blackgram
42,61,22,26.27274407,62.28814857,7.418650668,70.23207557,blackgram
42,73,25,34.03679184,67.21113844,6.501869314,73.23573601,blackgram
44,58,18,28.03644051,65.06601664,6.814410928,72.49507741,blackgram
50,55,16,28.81460716,65.33538112,7.581442888,62.26242533,blackgram
35,72,21,34.03619494,64.28791388,7.741418772,66.85510868,blackgram
